configuration,timesteps,name,actor_network,critic_network,lr_start,lr_end,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_start,clip_end,ent_coef,vf_coef,max_grad_norm,target_kl,clip_range_vf,best_score,winner_score
72,400000,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,,26.780484374999997,26.780484374999997
73,375000,auto_099,"[128, 128]","[128, 128]",0.00029267995456034836,3.8862517346673336e-05,1024,64,10,0.991791938092433,0.9095526079322096,0.25808645998611496,0.11848356372889815,0.05743360182820927,0.5,0.5,0.02653174829025068,,52.4658359375,52.4658359375
74,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,64.57676562500001,64.57676562500001
75,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,42.036484375,42.036484375
76,375000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,23.583820312500002,23.583820312500002
77,375000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,6.549367187499999,6.549367187499999
78,375000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,-11.6394453125,-11.6394453125
79,375000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,70.469296875,70.469296875
80,375000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,69.2345078125,69.2345078125
81,375000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,56.608625,56.608625
82,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,41.1549375,41.1549375
83,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,23.2353046875,23.381023437499998
84,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,4.4050078125,4.4050078125
85,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,64.57772656249999,64.57772656249999
86,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,66.350484375,66.350484375
87,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,61.955375000000004,61.955375000000004
88,375000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,52.298296875000005,52.332398437500004
89,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,38.541953125,38.660320312500005
90,375000,auto_138,"[64, 64]","[128, 128]",0.0007262635909625315,5.3304802439987826e-05,256,64,8,0.9900757075487362,0.9191551905508695,0.31322072299055664,0.08936037662852556,0.028343529607694647,0.5,0.5,,,22.238796875,22.238796875
91,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,58.422906250000004,58.422906250000004
92,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,61.733070312500004,61.733070312500004
93,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,60.93857812500001,60.93857812500001
94,375000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,56.325109375,56.325109375
95,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,47.277,47.39275
96,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,34.993296875,34.993296875
97,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,52.044882812500006,52.2681640625
98,375000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,56.0988046875,56.0988046875
99,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,57.8058515625,57.8058515625
100,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,56.08296875,56.2901875
101,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,50.9331015625,50.9331015625
102,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,41.730414062499996,41.730414062499996
103,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,46.5902421875,46.5902421875
104,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,50.597781250000004,50.76134375
105,375000,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,,53.9258515625,53.9258515625
106,375000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,54.420367187500005,54.420367187500005
107,375000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,51.41322656250001,51.41322656250001
108,375000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,44.660343749999996,44.7283984375
109,400000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,32.4375859375,32.4375859375
110,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,46.75984375,46.75984375
111,400000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,29.736382812499993,29.736382812499993
112,400000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,9.3631484375,9.3631484375
113,400000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,-2.235984375,-2.235984375
114,400000,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,,-26.364531250000006,-26.364531250000006
115,400000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,49.226328124999995,49.226328124999995
116,400000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,50.191398437500006,50.191398437500006
117,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,40.420890625,40.420890625
118,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,24.256882812500002,24.256882812500002
119,400000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,11.4996328125,11.4996328125
120,400000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,-9.68621875,-9.68621875
121,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,41.46578906250001,41.46578906250001
122,400000,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,,46.103125,46.103125
123,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,44.6459375,44.6459375
124,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,33.894906250000005,34.0181171875
125,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,22.433796875,22.4542265625
126,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,3.7056562499999997,3.7056562499999997
127,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,34.3489765625,34.3489765625
128,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,40.0198828125,40.042140625
129,400000,auto_421,"[64, 64]","[128, 128]",0.0003323949229958681,3.130386428773952e-05,512,64,5,0.990109366279946,0.901723706450002,0.2053147959855876,0.07709934159862007,0.0654101984056697,0.5,0.5,0.009248103225853208,,42.8460546875,42.8460546875
130,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,38.1835078125,38.1835078125
131,400000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,30.5413515625,30.5413515625
132,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,14.3972734375,14.3972734375
133,400000,auto_359,"[64, 64]","[64, 64]",0.0003790356687552224,6.287029567600739e-05,256,64,8,0.9956781649896798,0.9121501979348245,0.19743427209690612,0.08354311267106172,0.0320270049103265,0.5,0.5,0.03196577497022432,,27.137109375,27.137109375
134,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,33.6505078125,33.824265624999995
135,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,38.6032734375,38.6032734375
136,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,38.1629140625,38.1629140625
137,400000,auto_366,"[64, 64]","[128, 128]",0.00030373889755282445,6.746190580944042e-06,1024,64,8,0.9906351130454322,0.9102249957402518,0.19229350632406766,0.040226497785352366,0.01449789702512093,0.5,0.5,0.03674466196892715,,34.178406249999995,34.178406249999995
138,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,22.2804140625,22.2804140625
139,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,19.460390625000002,19.460390625000002
140,400000,auto_448,"[64, 64]","[64, 64]",0.0006245435660436964,2.7503355208453628e-05,1024,64,10,0.9890555593574961,0.914895434922753,0.236640117249551,0.12272053619766307,0.03326248168747035,0.5,0.5,0.013258283713613544,,27.158976562499998,27.158976562499998
141,400000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,33.218796874999995,33.218796874999995
142,400000,auto_306,"[64, 64]","[128, 128]",0.0008002983824707991,1.4896140962299413e-06,1024,64,5,0.9860787061013278,0.9245880346705846,0.28309620341849673,0.1369295288475828,0.008173216203259727,0.5,0.5,0.03139644935636998,,35.36540625,35.6152890625
143,400000,auto_098,"[64, 64]","[64, 64]",0.0002944121441242525,5.460088230521054e-05,2048,64,5,0.9845491126154651,0.9171070769621462,0.1589605498521274,0.10115861587540172,0.06077069208880042,0.5,0.5,,,34.9699375,34.9699375
